title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
HOME,Toni Morrison,Knopf,"A bitter Korean War veteran returns to a segregated America and revisits his small Georgia hometown, where buried secrets are unearthed.",9,1,9780307594167,hardcover-fiction,2012-05-29
THE WITNESS,Nora Roberts,Putnam,"A woman hides from the Russian mob in the Ozarks, but her sharp mind and secretive nature attract the attention of the local police chief.",10,4,9780399159121,hardcover-fiction,2012-05-29
THE SINS OF THE FATHER,Jeffrey Archer,St. Martin’s,"In the second volume of the Clifton Chronicles, it’s 1939 and Harry Clifton seizes a chance to bury his past. ",11,1,9781250000972,hardcover-fiction,2012-05-29
ROBERT B. PARKER’S LULLABY,Ace Atkins,Putnam,"The Boston P.I. Spenser helps a street-smart girl investigate her mother’s murder; a continuation of the series by Parker, who died in 2010. ",12,2,9780399158032,hardcover-fiction,2012-05-29
THE LOST YEARS,Mary Higgins Clark,Simon & Schuster,"A biblical scholar who made an amazing discovery is murdered, and it falls to his daughter to unravel the mystery behind his death.",13,6,9781451668865,hardcover-fiction,2012-05-29
A DOG’S JOURNEY,W. Bruce Cameron,Tom Doherty/Forge,"In a sequel to “A Dog’s Purpose,” Buddy the dog embraces a new destiny.",14,1,9780765330536,hardcover-fiction,2012-05-29
THE SHOEMAKER’S WIFE,Adriana Trigiani,Harper/HarperCollins,Childhood sweethearts in turn-of-the-20th-century Italy meet again in America.,15,6,9780061257094,hardcover-fiction,2012-05-29
THE FAMILY CORLEONE,Ed Falco,Grand Central,"A prequel to “The Godfather,” based on a screenplay by Mario Puzo.",16,1,9780446574624,hardcover-fiction,2012-05-29
GUILTY WIVES,James Patterson and David Ellis,"Little, Brown & Company","Four friends in Monte Carlo for a luxurious girls’ vacation find themselves in prison, accused of an unthinkable crime. ",17,0,9780316097567,hardcover-fiction,2012-05-29
A DANCE WITH DRAGONS,George R. R. Martin,Bantam,"After a colossal battle, the Seven Kingdoms face new threats.",18,0,9780553801477,hardcover-fiction,2012-05-29
BETRAYAL,Danielle Steel,Delacorte,A Hollywood director discovers the dark side of fame and fortune when she is faced with an act of unimaginable treachery.,19,0,9780385343190,hardcover-fiction,2012-05-29
UNNATURAL ACTS,Stuart Woods,Putnam,The New York lawyer Stone Barrington and his former protégé Herbie Fisher become involved in the family problems of a hedge fund billionaire.,20,0,9780399158865,hardcover-fiction,2012-05-29
SACRÉ BLEU,Christopher Moore,Morrow/HarperCollins,Vincent van Gogh’s friends in the 19th-century Parisian art world investigate his suicide.,21,0,9780061779749,hardcover-fiction,2012-05-29
THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,Pantheon,"Precious Ramotswe, Botswana’s premier detective, finds her personal and professional lives becoming entangled; the 13th novel in the No. 1 Ladies’ Detective Agency series.",22,0,9780307378408,hardcover-fiction,2012-05-29
THE PARIS WIFE,Paula McLain,Ballantine,"Hadley Richardson comes into her own as Ernest Hemingway’s long-suffering first wife in this novel, set in Paris.",23,0,9780345521309,hardcover-fiction,2012-05-29
THE INQUISITOR'S KEY,Jefferson Bass,Morrow,,24,0,9780061806797,hardcover-fiction,2012-05-29
SKINNYDIPPING,Bethenny Frankel with Eve Adamson,Touchstone/Simon & Schuster,An entrepreneur lands a role on a reality show where her loud mouth gets her into trouble with the rest of the cast.,25,0,9781451667370,hardcover-fiction,2012-05-29
DEFENDING JACOB,William Landay,Delacorte,An assistant district attorney’s life is shaken when his shy 14-year-old son is accused of murder. ,26,0,9780385344227,hardcover-fiction,2012-05-29
THE BEGINNER’S GOODBYE,Anne Tyler,Knopf,A middle-aged man mourning his wife’s death is comforted by her unexpected appearances.,27,0,9780307957276,hardcover-fiction,2012-05-29
THE LIFEBOAT,Charlotte Rogan,"Reagan Arthur/Little, Brown",A power struggle in the lifeboat carrying survivors of an ocean liner’s mid-Atlantic explosion in 1914.,28,0,9780316185905,hardcover-fiction,2012-05-29
COME HOME,Lisa Scottoline,St. Martin’s,A woman joins with her estranged stepdaughter to investigate the possible murder of her ex-husband. ,29,0,9780312380823,hardcover-fiction,2012-05-29
LONE WOLF,Jodi Picoult,Emily Bestler/Atria,"On an icy winter night, a terrible accident forces a family divided to come together and make a fateful decision.",30,0,9781439102749,hardcover-fiction,2012-05-29
11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,31,0,9781451627282,hardcover-fiction,2012-05-29
BEACH HOUSE MEMORIES,Mary Alice Monroe,Gallery Books,,32,0,9781439170663,hardcover-fiction,2012-05-29
THE REVEREND’S WIFE,Kimberla Lawson Roby,Grand Central,"The Rev. Curtis Black and his wife, Charlotte, are on the brink of divorce.",33,0,9780446572477,hardcover-fiction,2012-05-29
THE NEWLYWEDS,Nell Freudenberger,Knopf,,34,0,9780307268846,hardcover-fiction,2012-05-29
HARD COUNTRY,Michael McGarrity,Dutton,,35,0,9780525952466,hardcover-fiction,2012-05-29
THE STORM,Clive Cussler and Graham Brown,Putnam,"In the Indian Ocean, a NUMA research vessel is reduced to a smoldering hulk by a swarm of black particles, and Kurt Austin and his crew uncover a mad scheme to control the world’s weather.",1,1,9780399160134,hardcover-fiction,2012-06-19
11TH HOUR,James Patterson and Maxine Paetro,"Little, Brown","When a millionaire is gunned down, Detective Lindsay Boxer and the Women's Murder Club discover that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals.",2,4,9780316097499,hardcover-fiction,2012-06-19
STOLEN PREY,John Sandford,Putnam,"When a Minnesota family is murdered, the Minneapolis investigator Lucas Davenport believes a Mexican drug gang is involved. ",3,3,9780399157684,hardcover-fiction,2012-06-19
CALICO JOE,John Grisham,Doubleday,"In the summer of 1973, a fateful baseball play unites Joe Castle, a dazzling rookie; Warren Tracey, a hard-partying and hard-throwing pitcher, and Tracey’s young son, Paul.",4,8,9780385536073,hardcover-fiction,2012-06-19
DEADLOCKED,Charlaine Harris,Ace,"The Vampire King of Louisiana is in Bon Temps, where the telepathic waitress Sookie Stackhouse is investigating a murder that has more to do with her than she imagines. ",5,5,9781937007447,hardcover-fiction,2012-06-19
BRING UP THE BODIES,Hilary Mantel,John Macrae/Holt,"In this sequel to “Wolf Hall,” Thomas Cromwell conspires against Anne Boleyn, who has failed to give Henry VIII a son; winner of the 2012 Man Booker Prize.",6,4,9780805090031,hardcover-fiction,2012-06-19
A BLAZE OF GLORY,Jeff Shaara,Ballantine,A re-creation of the Battle of Shiloh in 1862.,7,1,9780345527356,hardcover-fiction,2012-06-19
THE INNOCENT,David Baldacci,Grand Central,"When something about his latest mission seems wrong, the government assassin Will Robie refuses to kill. Now he’s a target himself. ",8,7,9780446572996,hardcover-fiction,2012-06-19
A DANCE WITH DRAGONS,George R. R. Martin,Bantam,"After a colossal battle, the Seven Kingdoms face new threats.",9,43,9780553801477,hardcover-fiction,2012-06-19
IN ONE PERSON,John Irving,Simon & Schuster,An aspiring writer struggles with his sexuality.,10,4,9781451664126,hardcover-fiction,2012-06-19
THE WIND THROUGH THE KEYHOLE,Stephen King,Scribner,"King returns to the Dark Tower universe, his western-fantasy series, as he explores the early days of the gunslinger Roland.",11,6,9781451658903,hardcover-fiction,2012-06-19
CANADA,Richard Ford,Ecco/HarperCollins Publishers,"When his parents are jailed after a bank robbery attempt in North Dakota, 15-year-old Del Parsons takes refuge in Saskatchewan.",12,2,9780061692048,hardcover-fiction,2012-06-19
ISTANBUL PASSAGE,Joseph Kanon,Atria,An American expatriate in Istanbul who worked for the Allies during World War II takes on a final postwar assignment.,13,1,9781439156414,hardcover-fiction,2012-06-19
HOME,Toni Morrison,Knopf,"A bitter Korean War veteran returns to a segregated America and revisits his small Georgia hometown, where buried secrets are unearthed.",14,4,9780307594167,hardcover-fiction,2012-06-19
THE ROAD TO GRACE,Richard Paul Evans,Simon & Schuster,The continuing story of an ad executive who embarks on a walk from Seattle to Key West.,15,4,9781451628180,hardcover-fiction,2012-06-19
TANGLE OF NEED,Nalini Singh,Berkley Sensation,"A wolf changeling and a SnowDancer, passionately involved with each other, are drawn into a devastating Psy war; a Psy-Changeling novel.",16,1,9780425247563,hardcover-fiction,2012-06-19
THE SINS OF THE FATHER,Jeffrey Archer,St. Martin’s,"In the second volume of the Clifton Chronicles, it’s 1939 and Harry Clifton seizes a chance to bury his past. ",17,0,9781250000972,hardcover-fiction,2012-06-19
ROBERT B. PARKER’S LULLABY,Ace Atkins,Putnam,"The Boston P.I. Spenser helps a street-smart girl investigate her mother’s murder; a continuation of the series by Parker, who died in 2010. ",18,0,9780399158032,hardcover-fiction,2012-06-19
THE COLUMBUS AFFAIR,Steve Berry,Ballantine,The daughter of a disgraced journalist is held by a man who wants to force her father to help him discover a secret left by Columbus.,19,0,9780345526519,hardcover-fiction,2012-06-19
THE SHOEMAKER’S WIFE,Adriana Trigiani,Harper/HarperCollins,Childhood sweethearts in turn-of-the-20th-century Italy meet again in America.,20,0,9780061257094,hardcover-fiction,2012-06-19
DEFENDING JACOB,William Landay,Delacorte,An assistant district attorney’s life is shaken when his shy 14-year-old son is accused of murder. ,21,0,9780385344227,hardcover-fiction,2012-06-19
THE FAMILY CORLEONE,Ed Falco,Grand Central,"A prequel to “The Godfather,” based on a screenplay by Mario Puzo.",22,0,9780446574624,hardcover-fiction,2012-06-19
11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,23,0,9781451627282,hardcover-fiction,2012-06-19
THE WITNESS,Nora Roberts,Putnam,"A woman hides from the Russian mob in the Ozarks, but her sharp mind and secretive nature attract the attention of the local police chief.",24,0,9780399159121,hardcover-fiction,2012-06-19
A DOG’S JOURNEY,W. Bruce Cameron,Tom Doherty/Forge,"In a sequel to “A Dog’s Purpose,” Buddy the dog embraces a new destiny.",25,0,9780765330536,hardcover-fiction,2012-06-19
SACRÉ BLEU,Christopher Moore,Morrow/HarperCollins,Vincent van Gogh’s friends in the 19th-century Parisian art world investigate his suicide.,26,0,9780061779749,hardcover-fiction,2012-06-19
THE YARD,Alex Grecian,Putnam,,27,0,9780399149542,hardcover-fiction,2012-06-19
HARD COUNTRY,Michael McGarrity,Dutton,,28,0,9780525952466,hardcover-fiction,2012-06-19
BILLY LYNN'S LONG HALFTIME WALK,Ben Fountain,Ecco,,29,0,9780060885595,hardcover-fiction,2012-06-19
KILL SHOT,Vince Flynn,Emily Bestler/Atria,"Mitch Rapp, a C.I.A. super-agent hunting down perpetrators of the Pan Am Lockerbie bombing, finds himself caught in a dangerous trap.",30,0,9781416595205,hardcover-fiction,2012-06-19
BEACH HOUSE MEMORIES,Mary Alice Monroe,Gallery Books,,31,0,9781439170663,hardcover-fiction,2012-06-19
THE PARIS WIFE,Paula McLain,Ballantine,"Hadley Richardson comes into her own as Ernest Hemingway’s long-suffering first wife in this novel, set in Paris.",32,0,9780345521309,hardcover-fiction,2012-06-19
UNNATURAL ACTS,Stuart Woods,Putnam,The New York lawyer Stone Barrington and his former protégé Herbie Fisher become involved in the family problems of a hedge fund billionaire.,33,0,9780399158865,hardcover-fiction,2012-06-19
AS THE CROW FLIES,Craig Johnson,Viking,,34,0,9780670023516,hardcover-fiction,2012-06-19
2312,Kim Stanley Robinson,Orbit,,35,0,9780316098120,hardcover-fiction,2012-06-19
AMATEUR,Edward Klein,Regnery Publishing,A journalist argues that President Obama is callow and unable to lead.,1,3,9781596987852,hardcover-nonfiction,2012-06-19
IT WORKED FOR ME,Colin Powell with Tony Koltz,HarperCollins Publishers,Rules for effective leadership from the late four-star general and former secretary of state.,2,2,9780062135124,hardcover-nonfiction,2012-06-19
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",3,81,9781400064168,hardcover-nonfiction,2012-06-19
KILLING LINCOLN,Bill O'Reilly and Martin Dugard,Holt,The commentator looks at the heart-stopping events surrounding the assassination of Abraham Lincoln.,4,36,9780805093070,hardcover-nonfiction,2012-06-19
THE PASSAGE OF POWER,Robert A. Caro,Knopf Doubleday Publishing,From 1958 through the Kennedy assassination; the fourth volume of “The Years of Lyndon Johnson.”,5,5,9780679405078,hardcover-nonfiction,2012-06-19
CRONKITE,Douglas Brinkley,HarperCollins Publishers,A biography of the newsman and longtime anchor of the “CBS Evening News.”,6,1,9780061374265,hardcover-nonfiction,2012-06-19
FEARLESS,Eric Blehm,WaterBrook,"A tribute to Adam Brown, a member of Navy SEAL Team 6, who was killed in Afghanistan.",7,1,9780307730695,hardcover-nonfiction,2012-06-19
MY CROSS TO BEAR,Gregg Allman,Morrow/HarperCollins,The musician’s memoir.,8,5,9780062112033,hardcover-nonfiction,2012-06-19
IMAGINE,Jonah Lehrer,Houghton Mifflin Harcourt,An account of the science of creativity argues that it is not a gift but a thought process that can be learned.,9,11,9780547386072,hardcover-nonfiction,2012-06-19
THE PRESIDENTS CLUB,Nancy Gibbs and Michael Duffy,Simon & Schuster,Two journalists examine the relationships between sitting presidents and their predecessors. ,10,7,9781439127704,hardcover-nonfiction,2012-06-19
THE POWER OF HABIT,Charles Duhigg,Random House,,11,14,9781400069286,hardcover-nonfiction,2012-06-19
SERVICE,Marcus Luttrell and James D. Hornfischer,"Little, Brown",A Navy SEALs member who was rescued in Afghanistan describes his experience in Iraq.,12,4,9780316185363,hardcover-nonfiction,2012-06-19
STEVE JOBS,Walter Isaacson,Simon & Schuster,"A biography of the recently deceased entrepreneur, based on 40 interviews with Jobs conducted over two years.",13,32,9781451648539,hardcover-nonfiction,2012-06-19
WILD,Cheryl Strayed,Knopf Doubleday Publishing,"An account of the life-changing 1,100-mile solo hike along the Pacific Crest Trail in 1995. Originally published in 2012 and a 2014 movie.",14,7,9780307592736,hardcover-nonfiction,2012-06-19
THE ART OF INTELLIGENCE,Henry A. Crumpton,Penguin Group,Career lessons from the former operations officer who led the C.I.A.’s fight against Al Qaeda in Afghanistan after 9/11. ,15,3,9781594203343,hardcover-nonfiction,2012-06-19
"LOTS OF CANDLES, PLENTY OF CAKE",Anna Quindlen,Random House Publishing,The journalist and novelist looks back at her experiences and those of her generation. ,16,6,9781400069347,hardcover-nonfiction,2012-06-19
SCREWED!,Dick Morris and Eileen McGann,HarperCollins Publishers,How foreign countries take our jobs and misuse our aid.,17,0,9780062196699,hardcover-nonfiction,2012-06-19
THE ADMIRALS,Walter R. Borneman,"Little, Brown",,18,0,9780316097840,hardcover-nonfiction,2012-06-19
MOST TALKATIVE,Andy Cohen,Holt,The Bravo executive vice president and talk show host looks back on his career. ,19,0,9780805095838,hardcover-nonfiction,2012-06-19
