title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,24,0,9781416954125,hardcover-nonfiction,2008-12-16
HOLIDAYS ON ICE,David Sedaris,"Little, Brown",Comic essays about Christmas.,25,0,9780316035903,hardcover-nonfiction,2008-12-16
THE NEW YORK TIMES,Introduction by Bill Keller,Black Dog & Leventhal,"A book containing more than 300 Times front pages, along with three DVDs of the complete 54,267 front pages from the past 157 years.",26,0,9781579127497,hardcover-nonfiction,2008-12-16
MY STROKE OF INSIGHT,Jill Bolte Taylor,Viking,A brain scientist shares what she learned from her 1996 stroke.,27,0,9780670020744,hardcover-nonfiction,2008-12-16
THE BLACK SWAN,Nassim Nicholas Taleb,Random House,The role of the unexpected.,28,0,9781400063512,hardcover-nonfiction,2008-12-16
DREAMS FROM MY FATHER,Barack Obama,Crown,Stories on life as the son of a Black African father and a white American mother by the man who would become the 44th president of the United States; originally published in 1995.,29,0,9781400082773,hardcover-nonfiction,2008-12-16
TRIED BY WAR,James M. McPherson,Penguin Press,"Abraham Lincoln as commander in chief, from the author of “Battle Cry of Freedom.”",30,0,9781594201912,hardcover-nonfiction,2008-12-16
AGAINST MEDICAL ADVICE,James Patterson and Hal Friedman,"Little, Brown",A family’s struggle to get treatment for their son’s Tourette’s syndrome.,31,0,9780316024754,hardcover-nonfiction,2008-12-16
I AM AMERICA (AND SO CAN YOU!),Stephen Colbert,Grand Central,The wit and wisdom of the mock pundit of Comedy Central’s “Colbert Report.”,32,0,9780446580502,hardcover-nonfiction,2008-12-16
THE GLORY GAME,Frank Gifford with Peter Richmond,Harper,,33,0,9780061542558,hardcover-nonfiction,2008-12-16
TEAM OF RIVALS,Doris Kearns Goodwin,Simon & Schuster,"The political genius of Abraham Lincoln, revealed in his relationship with his cabinet; originally published in 2005.",34,0,9780743270755,hardcover-nonfiction,2008-12-16
THE RISE OF BARACK OBAMA,Pete Souza,Triumph,"Photographs of Obama’s career, from his first day in the U.S. Senate to the Pennsylvania primary last April.",35,0,9781600781636,hardcover-nonfiction,2008-12-16
SCARPETTA,Patricia Cornwell,Putnam,The forensic pathologist Kay Scarpetta takes an assignment in New York City.,1,1,9780399155161,hardcover-fiction,2008-12-23
THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Threshold Editions,A boy learns from his disappointment with his mother’s gift.,2,4,9781416594857,hardcover-fiction,2008-12-23
CROSS COUNTRY,James Patterson,"Little, Brown",Alex Cross chases the leader of a lethal teenage gang.,3,3,9780316018722,hardcover-fiction,2008-12-23
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,4,26,9780061374227,hardcover-fiction,2008-12-23
ARCTIC DRIFT,Clive Cussler and Dirk Cussler,Putnam,"In his 20th adventure, Dirk Pitt searches for a crucial element that will help reverse global warming.",5,2,9780399155291,hardcover-fiction,2008-12-23
JUST AFTER SUNSET,Stephen King,Scribner,A collection of short stories that blend fantasy and psychological realism.,6,4,9781439115305,hardcover-fiction,2008-12-23
THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,A man reconstructs five generations of family history.,7,4,9780060393496,hardcover-fiction,2008-12-23
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",8,30,9780316068048,hardcover-fiction,2008-12-23
THE CHARLEMAGNE PURSUIT,Steve Berry,Ballantine,"The former Justice Department operative Cotton Malone searches for the truth about his father’s death on a secret submarine mission to the Antarctic; an underground city, Nazis and an artifact from Charlemagne’s tomb are involved.",9,1,9780345485793,hardcover-fiction,2008-12-23
YOUR HEART BELONGS TO ME,Dean Koontz,Bantam,A man is stalked by a woman who resembles the donor of the heart he received in a transplant operation.,10,2,9780553807134,hardcover-fiction,2008-12-23
DIVINE JUSTICE,David Baldacci,Grand Central,"Members of Washington’s Camel Club rally to save their leader, who is hiding out in the town of Divine, Va.",11,5,9780446195508,hardcover-fiction,2008-12-23
THE LUCKY ONE,Nicholas Sparks,Grand Central,A Marine returning home sets out to track down the woman whose photo he found in Iraq.,12,10,9780446579933,hardcover-fiction,2008-12-23
